Total_Score,Suggestions
1,"Based on your responses, you're not experiencing any of the symptoms of depression and anxiety However, if you have any concerns about your health or mood please contact with your nearby doctor.


"
2,"Based on your responses, you're not experiencing any of the symptoms of depression and anxiety However, if you have any concerns about your health or mood please contact with your nearby doctor.


"
3,"Based on your responses, you're not experiencing any of the symptoms of depression and anxiety However, if you have any concerns about your health or mood please contact with your nearby doctor.


"
4,"Based on your responses, you're not experiencing any of the symptoms of depression and anxiety However, if you have any concerns about your health or mood please contact with your nearby doctor.


"
5,"Trying to get back into your routine. If you haven't daily routine, follow these steps:
 -Decide what need to be in your routine.
 -Layout a plan.
 -Set small goals. Break each large goal into smaller goals. 
 -Be consistent with time.
 -Track your progress.
 -Reward yourself.
Never make expectations from people.Just working hard on your goals people will immediately talk to you.     Mandatory-You need to perform a Namaz for 5 times on daily basis.This will helps to get rid of 
depression and anxiety because it will remove the anxious,haziness,upset or even 
fearful thoughts from your mind.
"
6,"Trying to get back into your routine. If you haven't daily routine, follow these steps:
 -Decide what need to be in your routine.
 -Layout a plan.
 -Set small goals. Break each large goal into smaller goals. 
 -Be consistent with time.
 -Track your progress.
 -Reward yourself.
Never make expectations from people.Just working hard on your goals people will immediately talk to you.     Mandatory-You need to perform a Namaz for 5 times on daily basis.This will helps to get rid of 
depression and anxiety because it will remove the anxious,haziness,upset or even 
fearful thoughts from your mind.
"
7,"Trying to get back into your routine. If you haven't daily routine, follow these steps:
 -Decide what need to be in your routine.
 -Layout a plan.
 -Set small goals. Break each large goal into smaller goals. 
 -Be consistent with time.
 -Track your progress.
 -Reward yourself.
Never make expectations from people.Just working hard on your goals people will immediately talk to you.     Mandatory-You need to perform a Namaz for 5 times on daily basis.This will helps to get rid of 
depression and anxiety because it will remove the anxious,haziness,upset or even 
fearful thoughts from your mind.
"
8,"Trying to get back into your routine. If you haven't daily routine, follow these steps:
 -Decide what need to be in your routine.
 -Layout a plan.
 -Set small goals. Break each large goal into smaller goals. 
 -Be consistent with time.
 -Track your progress.
 -Reward yourself.
Never make expectations from people.Just working hard on your goals people will immediately talk to you.     Mandatory-You need to perform a Namaz for 5 times on daily basis.This will helps to get rid of 
depression and anxiety because it will remove the anxious,haziness,upset or even 
fearful thoughts from your mind.
"
9,"Trying to get back into your routine. If you haven't daily routine, follow these steps:
 -Decide what need to be in your routine.
 -Layout a plan.
 -Set small goals. Break each large goal into smaller goals. 
 -Be consistent with time.
 -Track your progress.
 -Reward yourself.
Never make expectations from people.Just working hard on your goals people will immediately talk to you.     Mandatory-You need to perform a Namaz for 5 times on daily basis.This will helps to get rid of 
depression and anxiety because it will remove the anxious,haziness,upset or even 
fearful thoughts from your mind.
"
10,"If you feeling anxious about future event Never worry aboout it just focus on your routine.
You have to walk on outside around 10-15 mints.You could also take a tour around your neighborhood or taking your pet for a walk, being outside and moving has shown to improve mood.
Mandatory-You need to perform a Namaz for 5 times on daily basis.This will helps to get rid of  depression and anxiety because it will remove the anxious,haziness,upset or even  fearful thoughts from your mind."
